folder,ID,Name,Lat,Lon,Alt,Vbl,Stat,Units,Source,Link,year_start,year_end,n_records,n_unique_years,filepath
Cadiz,Cadiz,Cadiz,36.516667,-6.283333,13,Tx,max,C,"Barriendos, Mariano et al. “DAILY METEOROLOGICAL OBSERVATIONS IN CADIZ­ SAN FERNANDO. ANALYSIS OF THE DOCUMENTARY SOURCES AND THE INSTRUMENTAL DATA CONTENT (1786-1996).” Climatic Change 53 (2002): 151-170.",https://doi.org/10.1007/978-94-010-0371-1_6,1786,1949,109239,159,/scratch3/PALAEO-RA/daily_data/final/Cadiz/Barriendos_Cadiz_17860101-19491231_Tx_daily_qc.tsv
Central-Belgium-Temperature,CBT,Central Belgium Temperature,50.85045,4.34878,13,Tx,max,C,"Demarée, Gaston R. et al. “The Long-Term Daily Central Belgium Temperature (CBT) Series (1767–1998) and Early Instrumental Meteorological Observations in Belgium.” Climatic Change 53 (2002): 269-293.",https://doi.org/10.1023/A:1014931211466,1794,1899,34284,94,/scratch3/PALAEO-RA/daily_data/final/Central-Belgium-Temperature/GastonDemaree_Central-Belgium-Temperature_17670101-18991231_Tx_daily_qc.tsv
Sevilla,Se1803-1830,Sevilla,36.3833,-5.9833,11,Tx,maximum,C,"Mature, J. (ed.). 1803-1807. El Correo Literario y Económico de Sevilla. Biblioteca de la Universidad de Sevilla, A059/042-051 (http://fondosdigitales.us.es)",http://hdl.handle.net/10835/6806,1803,1806,170,4,/scratch3/PALAEO-RA/daily_data/final/Sevilla/EMOSSv2_Sevilla_18031001-18061231_Tx_daily_qc.tsv
Basel,Basel_Fuerstenberger,Basel,47.56085,7.58222,270,Tx,max,C,GCOS,https://doi.pangaea.de/10.1594/PANGAEA.948258,1826,1828,432,3,/scratch3/PALAEO-RA/daily_data/final/Basel/GCOS_Basel_Fuerstenberger_18260401-18281102_Tx_daily_qc.tsv
GrandStBernard,GrandStBernard,Grand St. Bernard,45.869,7.17068,2491,Tx,maximum,C,DIGIHOM,,1826,1863,9700,33,/scratch3/PALAEO-RA/daily_data/final/GrandStBernard/DIGIHOM_GrandStBernard_18260104-18631130_Tx_daily_qc.tsv
Basel,Basel_Merian,Basel,47.56267,7.58445,268,Tx,max,C,GCOS,https://doi.pangaea.de/10.1594/PANGAEA.948258,1828,1863,9671,28,/scratch3/PALAEO-RA/daily_data/final/Basel/GCOS_Basel_Merian_18281024-18361231_Tx_daily_qc.tsv
Fribourg,FR01_Fribourg,Fribourg,46.807,7.158,627,Tx,max,C,CHIMES,https://doi.org/10.5194/cp-15-1345-2019,1829,1847,5753,18,/scratch3/PALAEO-RA/daily_data/final/Fribourg/CHIMES_Fribourg_18290101-18470929_Tx_daily_qc.tsv
Dublin,ILMMT-Dublin-PhoenixPark,Dublin,53.364,-6.348,46,Tx,maximum,C,"Mateus, C., Potito, A., & Curley, M. (2020). Reconstruction of a long‐term historical daily maximum and minimum air temperature network dataset for Ireland (1831‐1968). Geoscience Data Journal, 7(2), 102-115.",https://www.edepositireland.ie/entities/publication/7271837d-dbe6-463f-b103-422f42a15446,1831,1958,45867,126,/scratch3/PALAEO-RA/daily_data/final/Dublin/ILMMT_Dublin-PhoenixPark_18310118-19581231_Tx_daily_qc.tsv
Dublin,ILMMT-Dublin-BotanicGardens,Dublin,53.372,-6.721,18,Tx,maximum,C,"Mateus, C., Potito, A., & Curley, M. (2020). Reconstruction of a long‐term historical daily maximum and minimum air temperature network dataset for Ireland (1831‐1968). Geoscience Data Journal, 7(2), 102-115.",https://www.edepositireland.ie/entities/publication/7271837d-dbe6-463f-b103-422f42a15446,1834,1958,39801,111,/scratch3/PALAEO-RA/daily_data/final/Dublin/ILMMT_Dublin-BotanicGardens_18340101-19581231_Tx_daily_qc.tsv
Bevers,GR02_Bevers_Bovelin,Bever,46.55309,9.89009,1708,Tx,max,C,CHIMES,https://doi.org/10.5194/cp-15-1345-2019,1836,1836,59,1,/scratch3/PALAEO-RA/daily_data/final/Bevers/CHIMES_Bevers_Bovelin_18360603-18360731_Tx_daily_qc.tsv
