station_source,variable,folder,start,end,span_days,span_years,covered_days,n_files,n_blocks,max_gap_days,blocks,file_list
Dijon,rr,Dijon,1783-01-01,1784-12-31,731,2.00,731,1,1,0,1783-01-01..1784-12-31,/scratch3/PALAEO-RA/daily_data/final/Dijon/Dijon_17830101-17841231_rr_subdaily_qc.tsv
Dijon,ta,Dijon,1783-01-01,1784-12-31,731,2.00,731,1,1,0,1783-01-01..1784-12-31,/scratch3/PALAEO-RA/daily_data/final/Dijon/Dijon_17830101-17841231_ta_subdaily_qc.tsv
Dijon,w,Dijon,1783-01-01,1784-12-31,731,2.00,731,1,1,0,1783-01-01..1784-12-31,/scratch3/PALAEO-RA/daily_data/final/Dijon/Dijon_17830101-17841231_w_subdaily.tsv
Dnipro,p,Dnipro,1833-01-01,1851-01-12,6586,18.03,6586,1,1,0,1833-01-01..1851-01-12,/scratch3/PALAEO-RA/daily_data/final/Dnipro/Dnipro_18330101-18510112_p_subdaily_qc.tsv
Dnipro,ta,Dnipro,1833-01-01,1851-01-12,6586,18.03,6586,1,1,0,1833-01-01..1851-01-12,/scratch3/PALAEO-RA/daily_data/final/Dnipro/Dnipro_18330101-18510112_ta_subdaily_qc.tsv
Domodossola,ta,Domodossola,1871-12-01,2014-06-30,52077,142.58,52077,1,1,0,1871-12-01..2014-06-30,/scratch3/PALAEO-RA/daily_data/final/Domodossola/Domodossola_18711201-20140630_ta_daily_qc.tsv
Duesseldorf,dd,Duesseldorf,1782-02-01,1784-12-31,1065,2.92,1065,1,1,0,1782-02-01..1784-12-31,/scratch3/PALAEO-RA/daily_data/final/Duesseldorf/Duesseldorf_17820201-17841231_dd_subdaily_qc.tsv
Duesseldorf,p,Duesseldorf,1782-02-01,1784-12-31,1065,2.92,1065,1,1,0,1782-02-01..1784-12-31,/scratch3/PALAEO-RA/daily_data/final/Duesseldorf/Duesseldorf_17820201-17841231_p_subdaily_qc.tsv
Duesseldorf,ta,Duesseldorf,1782-02-01,1784-12-31,1065,2.92,1065,1,1,0,1782-02-01..1784-12-31,/scratch3/PALAEO-RA/daily_data/final/Duesseldorf/Duesseldorf_17820201-17841231_ta_subdaily_qc.tsv
Eidsberg,dd,Eidsberg,1787-01-01,1787-12-31,365,1.00,365,1,1,0,1787-01-01..1787-12-31,/scratch3/PALAEO-RA/daily_data/final/Eidsberg/Eidsberg_17870101-17871231_dd_subdaily_qc.tsv
