dirname,filename,variable,year
Aachen,ECAD_Aachen_18910101-20110331_ta_daily_qc.tsv,ta,2010
Aachen,ECAD_Aachen_18910101-20110331_ta_daily_qc.tsv,ta,2011
Aalesund,METNO_Alesund_18640101-18661230_p_subdaily.tsv,p,1864
Aalesund,METNO_Alesund_18640101-18661230_p_subdaily.tsv,p,1865
Aalesund,METNO_Alesund_18640101-18661230_p_subdaily.tsv,p,1866
Aarau,CHIMES_Aarau_Bronner_18260401-18301231_p_subdaily_qc.tsv,p,1826
Aarau,CHIMES_Aarau_Bronner_18260401-18301231_p_subdaily_qc.tsv,p,1827
Aarau,CHIMES_Aarau_Bronner_18260401-18301231_p_subdaily_qc.tsv,p,1828
Aarau,CHIMES_Aarau_Bronner_18260401-18301231_p_subdaily_qc.tsv,p,1829
Aarau,CHIMES_Aarau_Bronner_18260401-18301231_p_subdaily_qc.tsv,p,1830
Aarau,CHIMES_Aarau_Bronner_18260401-18301231_ta_subdaily_qc.tsv,ta,1826
Aarau,CHIMES_Aarau_Bronner_18260401-18301231_ta_subdaily_qc.tsv,ta,1827
Aarau,CHIMES_Aarau_Bronner_18260401-18301231_ta_subdaily_qc.tsv,ta,1828
Aarau,CHIMES_Aarau_Bronner_18260401-18301231_ta_subdaily_qc.tsv,ta,1829
Aarau,CHIMES_Aarau_Bronner_18260401-18301231_ta_subdaily_qc.tsv,ta,1830
Aarau,CHIMES_Aarau_Zschogge_18070101-18651231_p_subdaily_qc.tsv,p,1807
Aarau,CHIMES_Aarau_Zschogge_18070101-18651231_p_subdaily_qc.tsv,p,1808
Aarau,CHIMES_Aarau_Zschogge_18070101-18651231_p_subdaily_qc.tsv,p,1809
Aarau,CHIMES_Aarau_Zschogge_18070101-18651231_p_subdaily_qc.tsv,p,1810
Aarau,CHIMES_Aarau_Zschogge_18070101-18651231_p_subdaily_qc.tsv,p,1811
Aarau,CHIMES_Aarau_Zschogge_18070101-18651231_p_subdaily_qc.tsv,p,1812
Aarau,CHIMES_Aarau_Zschogge_18070101-18651231_p_subdaily_qc.tsv,p,1813
Aarau,CHIMES_Aarau_Zschogge_18070101-18651231_p_subdaily_qc.tsv,p,1814
Aarau,CHIMES_Aarau_Zschogge_18070101-18651231_p_subdaily_qc.tsv,p,1815
Aarau,CHIMES_Aarau_Zschogge_18070101-18651231_p_subdaily_qc.tsv,p,1816
Aarau,CHIMES_Aarau_Zschogge_18070101-18651231_p_subdaily_qc.tsv,p,1817
Aarau,CHIMES_Aarau_Zschogge_18070101-18651231_p_subdaily_qc.tsv,p,1818
Aarau,CHIMES_Aarau_Zschogge_18070101-18651231_p_subdaily_qc.tsv,p,1819
Aarau,CHIMES_Aarau_Zschogge_18070101-18651231_p_subdaily_qc.tsv,p,1820
Aarau,CHIMES_Aarau_Zschogge_18070101-18651231_p_subdaily_qc.tsv,p,1821
Aarau,CHIMES_Aarau_Zschogge_18070101-18651231_p_subdaily_qc.tsv,p,1822
Aarau,CHIMES_Aarau_Zschogge_18070101-18651231_p_subdaily_qc.tsv,p,1823
Aarau,CHIMES_Aarau_Zschogge_18070101-18651231_p_subdaily_qc.tsv,p,1824
Aarau,CHIMES_Aarau_Zschogge_18070101-18651231_p_subdaily_qc.tsv,p,1825
Aarau,CHIMES_Aarau_Zschogge_18070101-18651231_p_subdaily_qc.tsv,p,1826
Aarau,CHIMES_Aarau_Zschogge_18070101-18651231_p_subdaily_qc.tsv,p,1827
Aarau,CHIMES_Aarau_Zschogge_18070101-18651231_p_subdaily_qc.tsv,p,1828
Aarau,CHIMES_Aarau_Zschogge_18070101-18651231_p_subdaily_qc.tsv,p,1829
Aarau,CHIMES_Aarau_Zschogge_18070101-18651231_p_subdaily_qc.tsv,p,1830
Aarau,CHIMES_Aarau_Zschogge_18070101-18651231_p_subdaily_qc.tsv,p,1831
Aarau,CHIMES_Aarau_Zschogge_18070101-18651231_p_subdaily_qc.tsv,p,1832
Aarau,CHIMES_Aarau_Zschogge_18070101-18651231_p_subdaily_qc.tsv,p,1833
Aarau,CHIMES_Aarau_Zschogge_18070101-18651231_p_subdaily_qc.tsv,p,1834
Aarau,CHIMES_Aarau_Zschogge_18070101-18651231_p_subdaily_qc.tsv,p,1835
Aarau,CHIMES_Aarau_Zschogge_18070101-18651231_p_subdaily_qc.tsv,p,1836
Aarau,CHIMES_Aarau_Zschogge_18070101-18651231_p_subdaily_qc.tsv,p,1837
Aarau,CHIMES_Aarau_Zschogge_18070101-18651231_p_subdaily_qc.tsv,p,1838
Aarau,CHIMES_Aarau_Zschogge_18070101-18651231_p_subdaily_qc.tsv,p,1839
Aarau,CHIMES_Aarau_Zschogge_18070101-18651231_p_subdaily_qc.tsv,p,1840
Aarau,CHIMES_Aarau_Zschogge_18070101-18651231_p_subdaily_qc.tsv,p,1841
Aarau,CHIMES_Aarau_Zschogge_18070101-18651231_p_subdaily_qc.tsv,p,1842
Aarau,CHIMES_Aarau_Zschogge_18070101-18651231_p_subdaily_qc.tsv,p,1843
Aarau,CHIMES_Aarau_Zschogge_18070101-18651231_p_subdaily_qc.tsv,p,1844
Aarau,CHIMES_Aarau_Zschogge_18070101-18651231_p_subdaily_qc.tsv,p,1845
Aarau,CHIMES_Aarau_Zschogge_18070101-18651231_p_subdaily_qc.tsv,p,1846
Aarau,CHIMES_Aarau_Zschogge_18070101-18651231_p_subdaily_qc.tsv,p,1847
Aarau,CHIMES_Aarau_Zschogge_18070101-18651231_p_subdaily_qc.tsv,p,1848
Aarau,CHIMES_Aarau_Zschogge_18070101-18651231_p_subdaily_qc.tsv,p,1849
Aarau,CHIMES_Aarau_Zschogge_18070101-18651231_p_subdaily_qc.tsv,p,1850
Aarau,CHIMES_Aarau_Zschogge_18070101-18651231_p_subdaily_qc.tsv,p,1851
Aarau,CHIMES_Aarau_Zschogge_18070101-18651231_p_subdaily_qc.tsv,p,1852
Aarau,CHIMES_Aarau_Zschogge_18070101-18651231_p_subdaily_qc.tsv,p,1853
Aarau,CHIMES_Aarau_Zschogge_18070101-18651231_p_subdaily_qc.tsv,p,1854
Aarau,CHIMES_Aarau_Zschogge_18070101-18651231_p_subdaily_qc.tsv,p,1855
Aarau,CHIMES_Aarau_Zschogge_18070101-18651231_p_subdaily_qc.tsv,p,1856
Aarau,CHIMES_Aarau_Zschogge_18070101-18651231_p_subdaily_qc.tsv,p,1857
Aarau,CHIMES_Aarau_Zschogge_18070101-18651231_p_subdaily_qc.tsv,p,1858
Aarau,CHIMES_Aarau_Zschogge_18070101-18651231_p_subdaily_qc.tsv,p,1859
Aarau,CHIMES_Aarau_Zschogge_18070101-18651231_p_subdaily_qc.tsv,p,1860
Aarau,CHIMES_Aarau_Zschogge_18070101-18651231_p_subdaily_qc.tsv,p,1861
Aarau,CHIMES_Aarau_Zschogge_18070101-18651231_p_subdaily_qc.tsv,p,1862
Aarau,CHIMES_Aarau_Zschogge_18070101-18651231_p_subdaily_qc.tsv,p,1863
Aarau,CHIMES_Aarau_Zschogge_18070101-18651231_p_subdaily_qc.tsv,p,1864
Aarau,CHIMES_Aarau_Zschogge_18070101-18651231_p_subdaily_qc.tsv,p,1865
Aarau,CHIMES_Aarau_Zschogge_18070101-18651231_ta_subdaily_qc.tsv,ta,1807
Aarau,CHIMES_Aarau_Zschogge_18070101-18651231_ta_subdaily_qc.tsv,ta,1808
Aarau,CHIMES_Aarau_Zschogge_18070101-18651231_ta_subdaily_qc.tsv,ta,1809
Aarau,CHIMES_Aarau_Zschogge_18070101-18651231_ta_subdaily_qc.tsv,ta,1810
Aarau,CHIMES_Aarau_Zschogge_18070101-18651231_ta_subdaily_qc.tsv,ta,1811
Aarau,CHIMES_Aarau_Zschogge_18070101-18651231_ta_subdaily_qc.tsv,ta,1812
Aarau,CHIMES_Aarau_Zschogge_18070101-18651231_ta_subdaily_qc.tsv,ta,1813
Aarau,CHIMES_Aarau_Zschogge_18070101-18651231_ta_subdaily_qc.tsv,ta,1814
Aarau,CHIMES_Aarau_Zschogge_18070101-18651231_ta_subdaily_qc.tsv,ta,1815
Aarau,CHIMES_Aarau_Zschogge_18070101-18651231_ta_subdaily_qc.tsv,ta,1816
Aarau,CHIMES_Aarau_Zschogge_18070101-18651231_ta_subdaily_qc.tsv,ta,1817
Aarau,CHIMES_Aarau_Zschogge_18070101-18651231_ta_subdaily_qc.tsv,ta,1818
Aarau,CHIMES_Aarau_Zschogge_18070101-18651231_ta_subdaily_qc.tsv,ta,1819
Aarau,CHIMES_Aarau_Zschogge_18070101-18651231_ta_subdaily_qc.tsv,ta,1820
Aarau,CHIMES_Aarau_Zschogge_18070101-18651231_ta_subdaily_qc.tsv,ta,1821
Aarau,CHIMES_Aarau_Zschogge_18070101-18651231_ta_subdaily_qc.tsv,ta,1822
Aarau,CHIMES_Aarau_Zschogge_18070101-18651231_ta_subdaily_qc.tsv,ta,1823
Aarau,CHIMES_Aarau_Zschogge_18070101-18651231_ta_subdaily_qc.tsv,ta,1824
Aarau,CHIMES_Aarau_Zschogge_18070101-18651231_ta_subdaily_qc.tsv,ta,1825
Aarau,CHIMES_Aarau_Zschogge_18070101-18651231_ta_subdaily_qc.tsv,ta,1826
Aarau,CHIMES_Aarau_Zschogge_18070101-18651231_ta_subdaily_qc.tsv,ta,1827
Aarau,CHIMES_Aarau_Zschogge_18070101-18651231_ta_subdaily_qc.tsv,ta,1828
Aarau,CHIMES_Aarau_Zschogge_18070101-18651231_ta_subdaily_qc.tsv,ta,1829
Aarau,CHIMES_Aarau_Zschogge_18070101-18651231_ta_subdaily_qc.tsv,ta,1830
Aarau,CHIMES_Aarau_Zschogge_18070101-18651231_ta_subdaily_qc.tsv,ta,1831
Aarau,CHIMES_Aarau_Zschogge_18070101-18651231_ta_subdaily_qc.tsv,ta,1832
Aarau,CHIMES_Aarau_Zschogge_18070101-18651231_ta_subdaily_qc.tsv,ta,1833
Aarau,CHIMES_Aarau_Zschogge_18070101-18651231_ta_subdaily_qc.tsv,ta,1834
Aarau,CHIMES_Aarau_Zschogge_18070101-18651231_ta_subdaily_qc.tsv,ta,1835
Aarau,CHIMES_Aarau_Zschogge_18070101-18651231_ta_subdaily_qc.tsv,ta,1836
Aarau,CHIMES_Aarau_Zschogge_18070101-18651231_ta_subdaily_qc.tsv,ta,1837
Aarau,CHIMES_Aarau_Zschogge_18070101-18651231_ta_subdaily_qc.tsv,ta,1838
Aarau,CHIMES_Aarau_Zschogge_18070101-18651231_ta_subdaily_qc.tsv,ta,1839
Aarau,CHIMES_Aarau_Zschogge_18070101-18651231_ta_subdaily_qc.tsv,ta,1840
Aarau,CHIMES_Aarau_Zschogge_18070101-18651231_ta_subdaily_qc.tsv,ta,1841
Aarau,CHIMES_Aarau_Zschogge_18070101-18651231_ta_subdaily_qc.tsv,ta,1842
Aarau,CHIMES_Aarau_Zschogge_18070101-18651231_ta_subdaily_qc.tsv,ta,1843
Aarau,CHIMES_Aarau_Zschogge_18070101-18651231_ta_subdaily_qc.tsv,ta,1844
Aarau,CHIMES_Aarau_Zschogge_18070101-18651231_ta_subdaily_qc.tsv,ta,1845
Aarau,CHIMES_Aarau_Zschogge_18070101-18651231_ta_subdaily_qc.tsv,ta,1846
Aarau,CHIMES_Aarau_Zschogge_18070101-18651231_ta_subdaily_qc.tsv,ta,1847
Aarau,CHIMES_Aarau_Zschogge_18070101-18651231_ta_subdaily_qc.tsv,ta,1848
Aarau,CHIMES_Aarau_Zschogge_18070101-18651231_ta_subdaily_qc.tsv,ta,1849
Aarau,CHIMES_Aarau_Zschogge_18070101-18651231_ta_subdaily_qc.tsv,ta,1850
Aarau,CHIMES_Aarau_Zschogge_18070101-18651231_ta_subdaily_qc.tsv,ta,1851
