station_source,variable,folder,start,end,span_days,span_years,covered_days,n_files,n_blocks,max_gap_days,blocks,file_list
MEDARE_Fort-National,p,FortNational,1884-01-01,1938-12-31,20088,55.00,20088,1,1,0,1884-01-01..1938-12-31,/scratch3/PALAEO-RA/daily_data/final/FortNational/MEDARE_Fort-National_18840101-19381231_p_daily.tsv
MEDARE_Fort-National,rr,FortNational,1884-01-01,1938-12-31,20088,55.00,20088,1,1,0,1884-01-01..1938-12-31,/scratch3/PALAEO-RA/daily_data/final/FortNational/MEDARE_Fort-National_18840101-19381231_rr_daily.tsv
MEDARE_Gabes,rr,Gabes,1887-01-01,1957-12-31,25932,71.00,25932,1,1,0,1887-01-01..1957-12-31,/scratch3/PALAEO-RA/daily_data/final/Gabes/MEDARE_Gabes_18870101-19571231_rr_daily.tsv
MEDARE_Geryville-El-Bayadh,rr,ElBayadh,1888-01-01,1938-12-31,18627,51.00,18627,1,1,0,1888-01-01..1938-12-31,/scratch3/PALAEO-RA/daily_data/final/ElBayadh/MEDARE_Geryville-El-Bayadh_18880101-19381231_rr_daily.tsv
MEDARE_Ghazaouet,p,Ghazaouet,1878-01-01,1938-12-31,22279,61.00,22279,1,1,0,1878-01-01..1938-12-31,/scratch3/PALAEO-RA/daily_data/final/Ghazaouet/MEDARE_Ghazaouet_18780101-19381231_p_daily.tsv
MEDARE_Ismailia,p,Ismailia,1884-01-01,1956-12-31,26663,73.00,26663,1,1,0,1884-01-01..1956-12-31,/scratch3/PALAEO-RA/daily_data/final/Ismailia/MEDARE_Ismailia_18840101-19561231_p_daily.tsv
MEDARE_Ismailia,rr,Ismailia,1884-01-01,1956-12-31,26663,73.00,26663,1,1,0,1884-01-01..1956-12-31,/scratch3/PALAEO-RA/daily_data/final/Ismailia/MEDARE_Ismailia_18840101-19561231_rr_daily.tsv
MEDARE_Laghouat,rr,Laghouat,1888-01-01,1938-12-31,18627,51.00,18627,1,1,0,1888-01-01..1938-12-31,/scratch3/PALAEO-RA/daily_data/final/Laghouat/MEDARE_Laghouat_18880101-19381231_rr_daily.tsv
MEDARE_Nemours-Ghazaouet,rr,Ghazaouet,1878-01-01,1938-12-31,22279,61.00,22279,1,1,0,1878-01-01..1938-12-31,/scratch3/PALAEO-RA/daily_data/final/Ghazaouet/MEDARE_Nemours-Ghazaouet_18780101-19381231_rr_daily.tsv
MEDARE_Nicosia,rr,Nicosia,1881-08-01,1922-12-31,15127,41.42,15127,1,1,0,1881-08-01..1922-12-31,/scratch3/PALAEO-RA/daily_data/final/Nicosia/MEDARE_Nicosia_18810801-19221231_rr_daily.tsv
MEDARE_Nicosia_17607,p,Nicosia,1881-01-01,1922-12-31,15339,42.00,15339,1,1,0,1881-01-01..1922-12-31,/scratch3/PALAEO-RA/daily_data/final/Nicosia/MEDARE_Nicosia_17607_18810101-19221231_p_daily.tsv
MEDARE_Oran,rr,Oran,1852-01-01,1966-12-31,42003,115.00,42003,1,1,0,1852-01-01..1966-12-31,/scratch3/PALAEO-RA/daily_data/final/Oran/MEDARE_Oran_18520101-19661231_rr_daily.tsv
